test_date,new_positive,issue_date
2020-10-07,3727,2022-04-26
2020-10-06,3732,2022-04-26
2020-10-05,4305,2022-04-26
2020-10-04,2224,2022-04-26
2020-10-03,2671,2022-04-26
2020-10-02,3348,2022-04-26
2020-10-01,3720,2022-04-26
2020-09-30,3716,2022-04-26
2020-09-29,3800,2022-04-26
2020-09-28,4066,2022-04-26
2020-09-27,2070,2022-04-26
2020-09-26,2359,2022-04-26
2020-09-25,3492,2022-04-26
2020-09-24,3354,2022-04-26
2020-09-23,3774,2022-04-26
2020-09-22,3710,2022-04-26
2020-09-21,4110,2022-04-26
2020-09-20,2171,2022-04-26
2020-09-19,2480,2022-04-26
2020-09-18,3463,2022-04-26
2020-09-17,3303,2022-04-26
2020-09-16,3805,2022-04-26
2020-09-15,3760,2022-04-26
2020-09-14,4175,2022-04-26
2020-09-13,2039,2022-04-26
2020-09-12,2337,2022-04-26
2020-09-11,3373,2022-04-26
2020-09-10,3232,2022-04-26
2020-09-09,3609,2022-04-26
2020-09-08,4255,2022-04-26
2020-09-07,2337,2022-04-26
2020-09-06,1981,2022-04-26
2020-09-05,2259,2022-04-26
2020-09-04,3451,2022-04-26
2020-09-03,3675,2022-04-26
2020-09-02,4047,2022-04-26
2020-09-01,4590,2022-04-26
2020-08-31,4349,2022-04-26
2020-08-30,2255,2022-04-26
2020-08-29,2631,2022-04-26
2020-08-28,3940,2022-04-26
2020-08-27,3983,2022-04-26
2020-08-26,4605,2022-04-26
2020-08-25,4914,2022-04-26
2020-08-24,5455,2022-04-26
2020-08-23,2567,2022-04-26
2020-08-22,3118,2022-04-26
2020-08-21,4398,2022-04-26
2020-08-20,4678,2022-04-26
2020-08-19,4677,2022-04-26
2020-08-18,5261,2022-04-26
2020-08-17,5774,2022-04-26
2020-08-16,2684,2022-04-26
2020-08-15,3657,2022-04-26
2020-08-14,5202,2022-04-26
2020-08-13,5154,2022-04-26
2020-08-12,5958,2022-04-26
2020-08-11,6205,2022-04-26
2020-08-10,7085,2022-04-26
2020-08-09,3181,2022-04-26
2020-08-08,4291,2022-04-26
2020-08-07,6444,2022-04-26
2020-08-06,6255,2022-04-26
2020-08-05,6690,2022-04-26
2020-08-04,7221,2022-04-26
2020-08-03,7551,2022-04-26
2020-08-02,3572,2022-04-26
2020-08-01,5393,2022-04-26
2020-07-31,7216,2022-04-26
2020-07-30,7237,2022-04-26
2020-07-29,7811,2022-04-26
2020-07-28,8792,2022-04-26
2020-07-27,9088,2022-04-26
2020-07-26,4151,2022-04-26
2020-07-25,5799,2022-04-26
2020-07-24,8274,2022-04-26
2020-07-23,8503,2022-04-26
2020-07-22,9367,2022-04-26
2020-07-21,10111,2022-04-26
2020-07-20,11064,2022-04-26
2020-07-19,5483,2022-04-26
2020-07-18,7331,2022-04-26
2020-07-17,10683,2022-04-26
2020-07-16,11072,2022-04-26
2020-07-15,11602,2022-04-26
2020-07-14,11568,2022-04-26
2020-07-13,11653,2022-04-26
2020-07-12,5887,2022-04-26
2020-07-11,7569,2022-04-26
2020-07-10,11429,2022-04-26
2020-07-09,11159,2022-04-26
2020-07-08,12184,2022-04-26
2020-07-07,12513,2022-04-26
2020-07-06,11768,2022-04-26
2020-07-05,6231,2022-04-26
2020-07-04,5391,2022-04-26
2020-07-03,7983,2022-04-26
2020-07-02,10620,2022-04-26
2020-07-01,11235,2022-04-26
2020-06-30,10522,2022-04-26
2020-06-29,10511,2022-04-26
2020-06-28,5473,2022-04-26
2020-06-27,6270,2022-04-26
2020-06-26,9111,2022-04-26
2020-06-25,9423,2022-04-26
2020-06-24,9855,2022-04-26
2020-06-23,9699,2022-04-26
2020-06-22,9392,2022-04-26
2020-06-21,4344,2022-04-26
2020-06-20,5348,2022-04-26
2020-06-19,6917,2022-04-26
